OrderID,Date,Customer Name,Email,Phone,Product,Quantity,Price in $,Total Revenue
1001,18-01-2023,Sarah,sarah@outlook.com,Unknown,Phone,3,500,1500
1002,18-01-2023,Jane Doe,jane.doe@yahoo.com,987654321,Phone,1,800,800
1003,06-01-2023,Anna,anna@yahoo.com,+1 234 567 8901,Camera,2,200,400
1004,27-01-2023,Mike Smith,mike.smith@yahoo.com,987654321,Laptop,1,500,500
1005,18-01-2023,Mike Smith,mike.smith@gmail.com,+1 234 567 8901,Headphones,3,300,900
1006,10-01-2023,John Doe,johndoe@hotmail,+91-98765 43210,Phone,1,200,200
1007,04-01-2023,Sarah,sarah@hotmail,Unknown,Laptop,1,500,500
1008,06-01-2023,Robert Jr,robert.jr@hotmail,+91-98765 43210,Tablet,3,50,150
1009,31-01-2023,Chris Paul,chris.paul@outlook.com,9876543210,Headphones,3,200,600
1010,17-01-2023,Chris Paul,chris.paul@hotmail,+1 234 567 8901,Camera,3,50,150
1011,21-01-2023,Mike Smith,mike.smith@outlook.com,987654321,Tablet,3,500,1500
1012,18-01-2023,Katy,katy@hotmail,+91-98765 43210,Camera,3,800,2400
1013,23-01-2023,Chris Paul,chris.paul@gmail.com,9876543210,Tablet,3,300,900
1014,06-01-2023,Jane Doe,jane.doe@gmail.com,+91-98765 43210,Phone,3,200,600
1015,22-01-2023,Tom Lee,tom.lee@hotmail,987654321,Phone,2,200,400
1016,30-01-2023,Mike Smith,mike.smith@yahoo.com,+1 234 567 8901,Laptop,2,300,600
1017,03-01-2023,Sarah,sarah@yahoo.com,Unknown,Tablet,2,50,100
1018,31-01-2023,Sarah,sarah@hotmail,+91-98765 43210,Camera,1,200,200
1019,23-01-2023,John Doe,john.doe@gmail.com,987654321,Headphones,3,300,900
1020,17-01-2023,Tom Lee,tom.lee@hotmail,+91-98765 43210,Laptop,3,300,900
1021,12-01-2023,Mike Smith,mike.smith@outlook.com,987654321,Headphones,3,800,2400
1022,04-01-2023,Robert Jr,robertjr@yahoocom,987654321,Camera,3,300,900
1023,24-01-2023,Tom Lee,tom.lee@hotmail,987654321,Tablet,3,200,600
1024,13-01-2023,Tom Lee,tomlee@gmailcom,+91-98765 43210,Camera,2,800,1600
1025,16-01-2023,Katy,katy@yahoocom,987654321,Laptop,3,300,900
1026,10-01-2023,Chris Paul,chris.paul@gmail.com,+91-98765 43210,Camera,3,800,2400
1027,19-01-2023,Chris Paul,chris.paul@outlook.com,987654321,Headphones,2,800,1600
1028,06-01-2023,john.doe,john.doe@outlook.com,9876543210,Laptop,1,500,500
1029,13-01-2023,Sarah,sarah@outlook.com,Unknown,Tablet,3,200,600
1030,10-01-2023,John Doe,john.doe@hotmail,+1 234 567 8901,Phone,3,200,600
1031,06-01-2023,Jane Doe,jane.doe@gmail.com,+91-98765 43210,Laptop,2,500,1000
1032,23-01-2023,Mike Smith,mike.smith@gmail.com,+91-98765 43210,Tablet,1,50,50
1033,15-01-2023,Jane Doe,jane.doe@outlook.com,Unknown,Phone,1,200,200
1034,01-01-2023,John Doe,john.doe@gmail.com,987654321,Headphones,3,300,900
1035,15-01-2023,John Doe,john.doe@hotmail,987654321,Camera,1,500,500
1036,21-01-2023,Katy,katy@hotmail,987654321,Headphones,2,50,100
1037,12-01-2023,John Doe,john.doe@yahoo.com,+1 234 567 8901,Laptop,3,300,900
1038,27-01-2023,Anna,anna@outlook.com,+1 234 567 8901,Phone,3,200,600
1039,16-01-2023,Jane Doe,jane.doe@hotmail,+91-98765 43210,Laptop,2,800,1600
1040,20-01-2023,Tom Lee,tom.lee@outlook.com,+1 234 567 8901,Phone,2,200,400
1041,24-01-2023,Jane Doe,jane.doe@hotmail,987654321,Laptop,2,200,400
1042,25-01-2023,Katy,katy@outlook.com,9876543210,Headphones,2,300,600
